hero		ability g		vel		del		t	r	cast	chase	ctrl_ovrrd	default	r1	r2	cylin1	warn
Ana,		4,		-9.84,	30,		0,		7,	0,	0,		0.35,	False,		4,		4,	0,	0,		False,
Junkrat,	0,		-12.35,	25,		0.075,	7,	0,	0,		0.1,	False,		0,		2,	3,	0,		True,
Junkrat,	3,		-20.3,	25,		0.09,	7,	0,	0.136,	0.25,	False,		,,,,,
Junkrat,	4,		-20.2,	10,		0.095,	7,	0,	0,		0.25,	False,		,,,,,
Baptiste,	1,		-20.1,	60,		0.007,	7,	0,	0,		0.1,	False,		1,		3,	0,	6.5,	True,
Baptiste,	4,		-20.1,	60,		0.007,	7,	0,	0,		0.1,	False,		,,,,,
Orisa,		4,		-9.84,	25,		0,		7,	0,	0.128,		0.4,	False,		4,		0,	0,	0,		True,
Zarya,		1,		-9.84,	25,		0.1,	7,	0,	0,		0.5,	False,		1,		2.5,6,	0,		False,
Zarya,		2,		-9.84,	25,		0.1,	7,	0,	0,		0.5,	False,		,,,,,
Sombra,		4,		-20.2,	25,		0.09,	5,	0,	0.096,		0.2,	False,		4,		15,	0,	0,		True,
Ashe,		4,		-8.03,	25,		0.07,	7,	0,	0.14,	0.4,	False,		4,		5,	0,	0,		True,
Tracer,		2,		-30.8,	15,		0.19,	2,	0,	0.144,		0.15,	False,		2,		5,	0,	0,		True,
McCree,		4,		-9.84,	30,		0,		7/30,0,	0,		0.1,	False,		4,		3,	0,	0,		False,
Mei,		2,		-9.9,	20,		0.09,	7,	0,	0.484,	0.6,	False,		2,		10,	0,	0,		True,
Torbjörn,	0,		-9.81,	70,		0.015,	15,	0,	0,		0.1,	True,		0,		2.5,40,0,		True,
Torbjörn,	2,		-30.05,	40,		0,		5,	0,	0,		0.1,	True,		,,,,,
Torbjörn,	3,		-20,	17,		0,		4,	0,	0.048,	0.1,	True,		,,,,,
Hanzo,		0,		-9.815,	110,	0,		15,	0,	0,		0.032,	True,		0,		0,	9,	0,		False,
Hanzo,		4,		-9.815,	110,	0,		15,	0,	0,		0.032,	True,		,,,,,
Sigma,		4,		-18.35,	37.4,	0.1,	6,	0,	0.640,	0.256,	False,		4,		2.5,3,	0,		True,
Sigma,		0,		-5.954,	49.7,	0,		3/7,0,	0.000,	0.048,	False,		,,,,,
Widowmaker,	4,		-9.84,	20,		0,		7,	0,	0.192,	0.160,	False,		4,		3,0,	0,		True,
